1438,15,3500,7000,3500,525,350.0,875.0,78.75,953.75
1439,10,46543,75000,28457,350,2845.7000000000003,3195.7000000000003,52.5,3248.2000000000003
1440,10,45000,65000,20000,350,2000.0,2350.0,52.5,2402.5
1441,15,45634,75356,29722,525,2972.2,3497.2,78.75,3575.9500000000003
1442,15,35647,45000,9353,525,935.3,1460.3,78.75,1539.05
1443,67,45602,75000,29398,2345,2939.8,5284.8,351.75,5636.55
1444,15,25123,36123,11000,525,1100.0,1625.0,78.75,1703.75
1445,14,10356,17653,7297,490,729.7,1219.7,73.5,1293.2
1446,10,45653,75356,29703,350,2970.3,3320.3,52.5,3372.8
1447,25,10000,35464,25464,875,2546.4,3421.4,131.25,3552.65
1448,15,25315,45312,19997,525,1999.7,2524.7,78.75,2603.45
1449,15,5046,10346,5300,525,530.0,1055.0,78.75,1133.75
1450,15,123456,254364,130908,525,13090.8,13615.8,78.75,13694.55
1451,25,15346,45346,30000,875,3000.0,3875.0,131.25,4006.25
1452,12,35403,55604,20201,420,2020.1,2440.1,63.0,2503.1
1453,21,46356,56356,10000,735,1000.0,1735.0,110.25,1845.25
1454,10,25365,35632,10267,350,1026.7,1376.7,52.5,1429.2
1455,10,45000,76513,31513,350,3151.3,3501.3,52.5,3553.8
1456,23,12346,25365,13019,805,1301.9,2106.9,120.75,2227.65
